Bio_id,Uniprot_id
11201,Q9M0V3
112895,P02786
26487,O04379
6566,Q9SRT9
24764,Q96524
23500,Q9FZ48
9026,Q39023
32149,P52490
29137,F4I0P8
29443,Q94A97
113182,P61088
4318,Q39026
7450,Q9LSF1
6592,Q38997
12624,Q9SCY5
9611,P92978
21749,Q9FN02
6802,Q9LT82
4918,Q9M8Y4
20171,Q9FJK3
16156,Q9S7Q7
14839,P42731
5679,Q9ZRE2
17086,O49841
22088,Q9FHA2
16288,Q8L7E5
24018,Q9XI01
4030,Q38846
7223,Q0WPQ2
24784,P93825
4949,Q9ZTP3
16700,Q9LFV6
9728,Q9SVC6
28112,Q9S972
6733,Q8LGD5
28111,Q39086
3771,Q8S8P5
3510,Q84TG3
13181,O81905
5120,Q9M8K6
20647,Q700C7
7332,Q56YJ8
33090,P32863
4440,Q8RXD6
6788,Q0PCS3
13543,Q5YDB6
23740,Q9LMA8
28627,Q8W4J8
23242,P25865
207,P42745
5042,Q9MA55
15986,Q9LEZ3
25163,O04292
6101,Q9LJR3
12189,Q9SUI4
23639,Q9SA56
12011,Q9T014
15295,Q9SZN7
1463,Q9XII1
26968,Q94BM7
15315,Q9T0I8
16733,Q9LFS4
398,Q84JU4
3739,Q39253
16180,Q9LX93
19676,Q84JA6
12905,Q8LPK5
10803,Q9LYA9
20006,Q9LD45
16884,Q9SWW6
13126,Q9SUC5
11840,Q38869
25703,Q39016
9743,B9DHA6
15703,O82132
22429,Q9M9Y4
14788,Q8S944
1258,Q8LFT2
19463,P42697
24485,Q9LQ89
26351,Q3ECW2
15280,Q93ZY2
13679,Q8L3Z8
12097,Q8VZS9
1909,Q7XJ98
5416,Q9SR37
9131,Q9SNC0
16508,Q8LPL5
12789,P41151
19978,P93654
21402,Q8H166
5224,Q39214
22050,Q9XFH4
13746,Q9SUR9
20489,Q9SE33
14663,Q8RWY7
11814,P39207
10829,Q9LY75
17171,Q9SDW0
23891,Q96528
10092,C0LGP9
9917,P35632
16712,P29382
3684,O80931
23960,Q39191
3543,Q9SJN0
17399,P41916
3115,Q9SKZ1
15740,Q9FFK1
24803,P93830
5962,Q940U6
24477,Q94JU3
22867,Q9C5Z2
12045,Q9LD55
10097,O49160
20662,Q8S3N1
2779,Q8LBP4
9846,O24466
13752,Q9SUR3
12023,Q9SUT9
3655,Q8VYA5
22808,Q9SE83
17252,Q9FEE2
18098,Q8W5S1
28578,P42751
18262,B9DGI8
25258,Q9SHE7
2222,P93831
22326,Q9SE37
19394,Q38897
3952,A0MES8
3477,Q8RUC6
16911,Q946J8
11970,Q7FZF1
12774,O81445
14051,Q8LEM7
28465,P35631
12924,P17839
17235,Q5S2C3
117945,Q96F07
14676,Q9FUY2
9902,P25859
2020,Q9SJU9
17492,Q39238
21022,Q42538
24578,Q9ZVN6
19042,Q9LS09
32529,P06782
14936,Q38912
10459,Q43725
33136,P12904
29136,Q38937
22823,Q07098
9331,Q8LBB2
19198,Q9SEL6
7392,Q01593
17518,Q84VQ1
10600,P45432
13835,Q39236
5053,Q9SEI2
25024,Q9LP45
14429,P19456
9041,O48963
27201,Q9SEU4
12508,Q8RW96
1648,Q9SXL4
10187,O80366
25349,Q8RY59
5480,O04376
23470,Q9SEE9
6349,Q8RWC9
18100,Q9C5Z1
15877,Q9LYQ8
6954,Q9LT47
16238,Q9LEU7
2592,Q2V452
14508,O65554
12822,O23252
24657,O65312
10831,Q9FDX9
501,Q9SL15
21888,Q39237
7922,Q9ZNV8
24408,Q39081
19181,Q9SAZ5
7037,Q9ZNV9
29147,Q39255
19925,Q9FL28
9726,Q9S745
22705,Q9FNZ4
7515,Q9LUA3
23040,Q9FNZ5
22619,Q42374
16822,Q39233
18031,O65359
23433,Q9SA23
24984,Q946Y7
29516,Q94KK7
16265,Q9FNY3
15107,P42774
13336,Q9ZR12
4570,P42776
33844,P24814
14001,P49597
17123,Q9FNY2
14934,Q42564
15835,P92937
23757,Q9LN63
28587,O48661
22799,Q39021
21694,O64903
24231,Q9ZUB3
29255,O49286
7429,Q8GYN5
3724,Q93VQ0
2593,Q8W207
24462,Q9ZVH4
12346,P43255
24138,Q8LAZ7
12038,Q9SUS4
48,Q9ZU51
9943,Q9M1G6
23313,Q9ZT50
13508,O22763
2558,Q38998
13600,Q38898
29206,Q8LF80
14686,P92960
9598,P93031
24521,P42744
27890,Q9CAD0
3376,O64682
18756,Q9LDI3
13831,Q9STV4
19871,Q9FJ54
409,Q8H1U5
10362,P29381
11885,Q38836
4220,P29385
19482,Q9FH02
5939,P41376
17882,Q708Y0
25032,Q9LP51
3326,O22971
15609,Q9XF67
13494,Q9ZQX6
18773,Q9FJA2
5147,Q9SQU1
530765,F4JUL9
21212,Q9LV01
9658,O65020
11870,Q9FT81
6385,Q9M8S6
18979,Q94A76
21680,Q9FMK7
9313,Q94BN0
22126,Q9FJX5
16923,Q8S9K3
4545,Q6EVK6
13256,Q8W2F1
11964,O82491
11778,P42643
28524,Q9C9L0
13003,Q5ICL9
23336,Q9LNI5
27562,Q1ECJ7
4565,Q8S8M5
21561,Q8W4I9
24021,Q9XHZ8
11709,Q39008
14000,Q94A06
10422,Q9LX33
13440,Q39024
21798,Q8LGG0
12566,Q42384
9548,Q42404
29134,Q9SYQ8
16062,O65154
16449,Q5W7F2
6737,Q6Q4D0
7209,P49678
26354,Q9C6B3
19640,P33077
4571,Q38884
5833,Q39218
24013,Q9XI07
12617,O04425
14876,Q8VY05
299,P29383
28080,Q9SXZ2
15026,Q84JK2
17400,P41917
20856,Q8H156
21551,Q00958
17665,Q8RYD9
511,Q9SL05
27610,P16972
27755,Q38874
13148,O49552
20865,Q42545
15678,Q941L0
3541,O82533
17742,Q9MBA2
28492,Q9C4Z7
6388,Q9LVI4
27067,Q8RY71
14002,Q42484
13913,Q8VYC8
26950,F4IEM5
4199,Q9SIM9
27079,Q9SYH2
25403,Q8LRK9
14586,O04173
23556,Q940A7
28952,Q8LPF0
24900,Q6SJR1
19580,F4K4L7
17861,Q6S7B0
26677,Q9AST1
14866,Q9SYZ9
23015,O64973
23202,Q6NQH4
13067,Q9M565
5502,Q9SR71
27382,Q8VYZ0
1669,F4IPK2
16475,Q9FY48
21975,Q8S2T0
5864,Q9LTT8
25219,Q9C5G0
24949,Q9SE96
3584,Q3EBL9
7366,Q9LHF5
25552,Q9XIC7
14343,Q42418
14321,Q42525
29153,P11574
19794,Q8L746
4273,O22850
5355,P42818
12685,Q8W5B1
26652,Q9FR53
16986,Q7Y1C4
17483,P94102
13145,Q8RXD4
13077,P94077
24925,Q9C7F5
25142,Q93VD3
2604,Q9ZVD0
26206,Q8W234
19534,Q9FMZ0
3929,Q5D869
5280,Q9SRR0
14325,Q8GYD2
363,Q9SI09
17824,Q9FUD3
20251,Q9FGX2
24809,Q9SP32
4508,O64644
22806,Q9SY69
11664,P46639
24585,Q9SRY4
26254,Q9MBA1
2371,Q9SK50
15440,Q9SMQ6
14594,Q9C5T4
29641,Q9SAH7
2391,Q9SK33
5260,Q9SRS9
13845,O82794
24688,Q8L4H0
3906,Q84JU6
3258,F4IVV0
7617,Q9LSE2
16117,Q8VZJ1
17778,Q9FNE9
6080,Q8GYH7
2547,O48721
17165,Q9S814
24389,Q9C658
16448,Q9LYU7
12167,Q9SU30
13117,Q9SVG9
21053,O04719
9516,O82659
19781,Q9FL96
29150,Q9LQR8
17294,Q8L765
3899,O22286
27977,Q9FUQ7
23848,Q9LNU4
2337,Q9ZQ19
6520,Q8LFJ8
29329,Q8L796
23003,Q05085
28828,Q9CAJ0
3268,O22806
7526,Q9LU93
7448,Q38931
27617,Q9C952
105,Q8GUU3
16469,Q6NLV4
21695,Q9FGW9
16423,B7U179
15134,Q96320
12069,Q9T0D3
14879,P49177
6598,Q9SRH9
28250,P10795
6584,Q8GXW1
21614,Q9FJJ5
5084,Q9M9L6
21170,P93025
32477,Q04049
19753,Q8H2D5
14229,P93030
6842,Q84N64
9588,Q9SD40
16392,Q94CK3
9217,Q9STY0
10593,Q84JW1
15033,Q7XZP5
4518,O80845
22506,Q8VZI8
24492,Q9LQ73
14979,Q9SAR5
5572,Q9CAF6
27295,Q8LCG7
14571,O81126
4098,P48512
14299,Q9SV55
16821,O81821
5751,Q6NPS8
2227,Q67Y93
29595,Q9C968
15016,P18616
16592,Q9M548
2598,Q9ZVD5
9404,Q94A79
2248,O64837
3947,Q9XEE8
22282,Q9ZVZ9
10661,Q9M364
3887,O48814
2507,O80982
21126,Q6NLQ8
14078,P55852
5193,Q9M7X9
29354,Q9MAX3
29178,Q6NPN9
29053,Q9S7M2
1817,Q8L4M1
26879,Q9M811
16485,Q9FNB0
17425,Q93ZH9
2941,O04350
9768,P93026
21555,Q941L3
20801,Q9FH37
3799,Q9ZVJ6
9673,Q9S744
26754,Q9C682
12411,O23320
5534,Q96305
23709,Q9M9V8
22135,Q9FJW6
16534,Q8LF89
7197,Q9LIK5
20945,P55737
27823,Q9FPQ8
22544,Q9LQQ9
17920,Q8LGF7
6846,Q9LT31
27803,Q8VXV7
9636,Q9SCZ4
2932,O22929
6573,Q9S7I6
13007,O81851
2500,F4ITL6
22489,Q9LNV5
2550,O48724
21003,Q9FJV0
17713,Q9FFA7
16274,O24646
21019,Q9FJT8
16112,Q9LXD7
9942,Q9AR19
21674,Q9FML2
26672,Q39102
20116,Q9LUB6
12861,Q93V43
26981,Q9MAH8
4224,Q9SJH0
28526,Q9C9L2
3618,Q9SJK7
15222,Q9T072
20624,Q8LDQ4
26689,Q9LPR8
12629,Q9ATB4
27203,F4I096
23384,Q94AI7
21723,Q84TI6
4655,O80719
19509,Q8L999
2016,Q8S8C6
4043,Q9C5Q2
127,Q9SKD0
16502,Q38847
6640,Q9MAB9
15729,Q9FFK8
15249,O22446
16675,Q8LCS8
13890,Q9SW27
7645,Q9LSD8
29342,Q9SH14
24049,Q8GWJ6
21461,Q9FME4
18812,Q43727
22706,Q93ZW0
2140,Q9FVC1
2913,F4IMQ0
16769,Q9FFF1
3298,Q84VG7
17568,Q9FMR9
24378,Q7XYY2
19848,Q9FH40
27479,Q0JXE7
8922,Q8W1Y3
7731,Q9LK95
8748,Q9M246
25128,Q8LBM2
4928,Q8W595
19284,Q9SPG9
25618,Q8VWG3
7262,O22683
27998,F4I878
10652,P38557
17446,C0LGT6
23550,Q9LDU5
28796,Q9C9E3
16440,Q93ZM9
17489,Q9C5K8
3371,O64687
26496,Q58G47
25392,Q39204
22496,Q9LNW3
12804,O49687
19967,Q9FIP9
10319,D5K228
20495,Q9FLI3
2712,Q0V7X4
7269,P50651
28106,Q9SHY1
5753,Q9LHG8
16510,Q9FFY6
13530,O65421
9795,Q9SCP9
12930,Q8VZC9
14099,Q5M759
15653,Q9FF81
606,Q9SKI2
19733,Q0WTY4
21750,Q8GXN6
16063,Q9FY89
1857,O82197
14324,Q9SZE4
14359,Q9SU94
1841,O82210
8718,Q8LNZ2
10817,Q8RXT4
8862,Q0WPH8
29109,Q9LQZ7
20138,Q9ASS4
121872,Q9BZL1
35857,Q6Q546
6658,Q6X7K0
28912,Q9C6B8
18075,Q8LGA5
2782,Q84WZ8
17699,Q42396
13764,Q9SUQ2
20655,Q9FK12
14195,Q9SUE3
10650,Q9M374
4574,O82339
12014,O82503
24145,Q8W4I5
16303,Q9LYD9
14748,Q9SZA4
14747,Q9S7I8
107841,P68400
9137,Q9SNB4
21407,Q680Q4
3934,O04211
27635,Q940K0
15128,Q9FUA4
17634,Q9FFB3
27826,Q9LQ02
11908,P48732
10795,Q93ZT5
21429,Q9FF55
1892,Q8GZM7
21492,Q570R7
12523,O23404
10696,Q8L5W7
21345,Q9FJF4
12325,O23255
6944,Q9LHQ7
3323,Q6AWX6
24805,Q38822
22662,O22040
28739,Q39232
2454,Q9SLA1
10731,Q9LZP6
17798,Q9XGN1
6213,Q06AN9
7623,Q9LW31
23627,O24456
29606,Q0WV90
6789,Q93YN0
12181,Q9SU14
6270,Q9LRZ0
18036,Q84JM4
6165,Q27GK7
1975,Q9SKT1
17358,Q9C5J8
14720,P48731
19087,P42644
3789,Q9ZVI7
926895,B3H4X8
27518,Q944S1
10270,Q9M2R1
9023,Q9M1E6
4164,O48533
22658,Q8L4B2
12398,O23310
3812,Q9SLG0
20063,Q9FGJ3
22665,O04027
4728,O82248
20066,Q84W66
1204,Q9SIT9
3626,Q8VYK4
24039,Q9SFD8
9819,Q67XJ2
9337,Q9SMP0
27147,Q9ZVL3
21708,Q9FMV5
20362,Q9FGP7
19045,Q58CM8
18131,Q4PSE2
7626,Q9LW29
4569,O82343
8798,A1L4W5
2525,Q42371
15011,Q8L540
15865,P43273
14871,C6KIE6
21588,C0LGW6
29566,Q9SSD1
17751,Q9FL62
5661,Q96301
21651,O82481
9981,Q9FQ25
28554,O04951
22771,Q9FE59
27895,Q9CAD5
20646,Q8GV05
18714,Q8GWH3
10839,Q84TI3
23645,Q9LM25
23279,Q94B71
20115,Q9LUB7
13680,O82741
5304,Q9S736
27568,P42339
15135,Q8LDU4
8942,Q9FYC2
15651,Q8LEU3
16503,Q9FFZ1
12239,Q93ZA0
3007,O82277
25136,Q9C758
6066,Q8LPR5
5777,Q9LHJ8
15724,P38558
15836,Q9FG37
14768,Q941D6
29224,Q84WW6
20331,Q9FGS5
3068,Q9C5X4
29285,Q2LAE1
11838,Q9M0N8
20297,Q9LTY1
20308,Q9LTX2
250,O81055
15614,Q8LK56
15880,Q9C5T3
10485,Q9M1X5
21844,Q93WU9
2924,O22921
29970,P56767
29968,P56766
29972,P56778
16446,Q9LYU9
3909,P48484
9345,Q8VZ79
24031,Q8RWM6
5294,Q9S7M9
20229,Q9FJ17
10198,Q9LD90
23508,Q9FQ08
469,Q56Y52
7139,Q94KE2
28998,Q9CA75
5149,Q8RWY3
5748,Q9C7A2
26671,Q2QAV0
21057,Q9LU77
4595,Q9ZPY9
7256,Q8S403
23045,Q9LD83
11153,Q9S9T7
28826,Q38820
1551,Q9ZVX2
13174,O81900
26684,Q9SX52
3027,Q84TK1
3025,Q8GX46
22368,Q9LND0
22842,F4HVY0
21164,Q9FGT7
13754,Q42479
13375,O81323
15706,Q9FLB1
2837,Q9ZW21
21284,Q9FIF5
20004,Q9LTB8
14192,Q8H1R0
14531,Q9M086
2399,Q9SEZ7
2151,Q38826
9794,Q93ZG7
14662,O48946
21837,Q94JQ6
27651,Q8GX77
111824,P54727
21748,Q9FN03
119007,Q9UMX0
29522,Q84L33
35455,P48510
1582,Q9SII8
23521,Q9FPS9
2560,O48782
29274,O80653
2591,Q8GWP3
24738,Q94BR4
24584,Q9MAM1
1826,O22607
10196,Q9M1I7
14587,O81775
13968,Q9SW07
21119,Q9FHH5
2365,Q8S8A0
17837,Q3E965
19006,P25070
8135,Q3EAV6
19119,Q3E8L0
1404,Q9ZQF9
14832,O49500
17627,Q9FFC0
28152,Q9C8D1
17024,Q05609
24583,Q9ZVN4
10271,Q42551
20656,P35133
20640,Q94AT1
23622,Q9LMT1
2397,O81716
5136,Q7XJ53
16219,Q8LAY8
6243,Q9M8R7
14244,Q93YW5
14601,Q9SZ53
15843,Q84JD5
15289,Q5PNS9
6319,Q9LUU7
5066,Q9M9W9
21982,Q9FKX4
29520,Q8RXZ4
17839,Q4PSE8
2918,O64730
28736,O82656
18120,O82734
25611,Q9S9Z7
26214,Q8VZN9
27931,O48538
6091,Q9LDA7
13847,Q9SB51
15230,Q9SZJ5
24707,Q8GS60
25035,Q9XF57
12324,O23254
12420,Q7XA73
1654,Q94C69
5653,Q9CAY1
6933,Q8W4D8
1581,Q9SII9
14722,Q7FRS8
21515,Q0WWQ1
2407,Q9S775
6248,Q9SRH5
23144,Q9FX54
17613,Q9FNI6
22894,Q8RWZ1
15297,Q6WWW4
20642,Q9FGM1
28586,Q8W4I4
10426,Q9LX29
16725,Q9LFS8
28178,Q9ZTC3
4902,P25858
3900,O22287
27345,Q9FE25
6370,Q9LD37
26816,O80397
16800,Q9FMD5
22107,Q9FDW1
21336,Q9FPW4
28858,Q9SSL9
24606,F4I2J8
20673,Q9SM23
28094,O04479
1893,Q8RWY6
19927,Q9FL26
16264,Q9LFN6
22391,Q39012
14958,Q944A7
13454,Q9ZSM8
13701,Q9C5S8
12280,P54144
14964,Q93YT1
21951,Q37001
17743,Q9FLV9
5469,Q9S752
29058,Q6F6B5
13076,Q9S7R5
29601,Q9M8L2
14647,Q93WC4
4691,O22267
19491,Q9FII2
26526,Q8VYB5
26571,Q6NQG7
18223,Q9LKR3
22670,Q8H1B3
12013,O82504
23328,Q9XI47
8612,Q9M297
4352,Q96254
16429,Q9ASS6
27402,Q9C518
114045,O60264
7467,Q9SE97
17470,O65282
20443,Q8L6Y4
26858,Q9SAV0
3753,O80920
23031,Q9C5X3
17615,Q8LPL6
14943,P25819
23890,Q42547
29977,P50546
1656,Q7XJR9
14168,P31170
9916,Q6X5Y6
23083,Q9LPW3
24377,F4I2H7
13335,Q67Z93
13006,Q38856
14447,Q9M0C3
14741,Q0WPU1
20351,Q9M643
21941,O49545
28070,O80809
9447,Q9M2Z1
19954,O23140
106962,Q13315
21486,Q9S7P9
22856,Q9SAC9
27596,O22715
6347,Q9LUP8
5762,Q8H0X6
21568,Q9FIT4
3932,O04209
28472,F4I0K2
9893,Q9M394
19019,Q9FKD7
24961,Q8VZD4
5872,Q9LJF3
17447,F4K5J1
27235,Q9ZWC8
24043,Q9LR78
11755,Q8VZG8
6531,Q9M8T0
17534,B7ZWR6
16079,F4KCL7
4995,Q9LVH5
116890,O60291
257343,Q5XIQ4
23602,Q8RXN0
14137,Q9SZR9
12527,Q38854
17712,Q75QN6
18787,O04663
202192,P05132
9577,Q38834
13552,Q8RWU4
2753,Q9SK03
11146,Q9ZPH2
24439,Q93VP3
9971,Q84Y95
6143,Q8LBK6
1899,Q8LBS4
12889,Q9SN51
3749,Q8H7F6
14281,Q8GWS0
19970,Q8VZS8
12803,O49686
28850,Q9SSM7
2497,O80992
3964,Q8S8E3
19875,Q9FJ50
19876,Q9FJ49
23922,Q9S7C9
15082,Q94IB8
16008,Q9FTA2
20854,Q9FLP5
25684,Q9LQF0
20853,Q9FLP6
28204,Q9C9M0
12644,Q8VYK7
4461,Q8S926
10658,Q9M367
2168,O81001
3557,Q9SJR5
9774,Q8L8A7
15211,Q8L8A8
20691,Q9FJB8
575,Q9ZQ12
13804,Q9SU44
5943,Q8L8A6
8891,Q8RYD6
4492,Q8S9M3
4486,O22131
12422,Q8GY55
24555,Q946J2
19672,Q9FNC7
12690,O23530
25184,Q94C59
25079,Q9C7N4
1577,Q8H111
9703,Q0WQF7
24628,Q9MAT5
25104,Q8VZ87
15904,Q38798
19457,Q39043
26141,P17094
16298,P22953
20842,Q9FLQ4
5436,O65719
1986,Q9SKR2
4019,Q8RXD9
5441,Q9SF53
67,Q9ZU32
2076,Q9SJ12
14146,O23144
21584,Q39189
25445,P49209
13820,Q9STW6
20666,Q9LV09
6445,Q9M886
22682,Q38858
23593,Q8GUP1
19836,Q8VZC7
28540,Q94A41
18016,O04630
15688,Q8VZW3
25106,P04778
21595,P49200
24166,O49299
23813,Q56XU4
4089,O22216
9871,Q9M339
2599,Q9SLH0
14921,Q42406
3452,Q42581
9973,Q93Z04
26878,Q9SUI6
15604,Q07473
20088,Q9FIJ2
21178,Q9LVM5
25256,Q9SHE8
21862,Q8W4P1
25153,Q9SUI5
5314,Q9SFC6
9211,Q9STY6
13898,Q9SW18
25670,Q9C8P8
22490,Q9M7Q7
19265,Q9SQK3
1604,Q940Y3
14312,Q9SZD4
21405,Q8GTY0
26530,Q9C514
4121,P49688
7365,Q6STH5
6989,Q39195
22859,Q9SAC6
29464,P27202
18788,Q43127
16519,P13114
17734,Q9FF86
10748,Q9LZK5
17942,Q9C5C2
15662,Q93Y22
16638,Q9SMX3
12187,Q9SU08
22746,P43333
5340,P31167
7120,Q94C26
17175,Q1EC66
17041,Q9LZW4
22116,Q66GP0
27541,Q2PS26
13884,Q8VY78
23297,Q9LQT8
13437,Q3E7T8
15372,Q9FPS0
15028,O65628
2039,Q9SJT1
5721,P46313
2898,P48623
14507,P46312
5622,P46310
15720,P48622
15424,Q94FB9
14036,Q8W1P0
20971,Q8W206
24775,P93823
11139,Q93V99
19656,Q1PDN3
22634,Q9FPR3
2839,P30366
14633,O49377
12025,P48486
9155,P48485
27929,P48483
19606,O82733
5059,Q9M9W3
7733,P36210
21278,P48482
7538,Q8H1F2
18823,P14714
17329,B9DHT4
28483,Q9C983
1580,Q9SIJ0
14963,O65499
6829,Q9LJN8
13859,Q9SB63
23233,Q93VT9
20582,Q9LTF7
7745,P27900
28174,Q9C8Y3
23677,O49782
24892,Q9S709
19543,Q9FMY5
3462,O82289
13948,Q9M0K4
21525,Q9FKG1
6785,Q8VY16
4405,O80501
405,Q9SI03
15428,Q9SMR4
15183,Q9SZU7
6063,Q9LKA5
3509210,P03586
6465,Q9SGH2
20545,Q9XFM6
28730,Q9M9G6
2479,O82312
5170,Q56XM9
21160,F4KDH9
3303,O23661
20431,Q93VI4
14706,Q8VYW1
19241,Q9FLE2
13947,Q8GXS3
28189,Q9C710
16177,Q9LX90
1662,Q9SB92
21893,Q9FJN9
19632,Q9FIX8
6957,O24606
23837,Q38919
26693,Q9LPS1
2732,Q9SKN5
23524,Q8LE98
16738,P42645
9124,Q9SNC6
29398,Q9M9F9
9820,Q8VYU8
2190,O64816
21993,Q9FKW6
6544,Q9GCB9
15309,P34790
15731,Q9FFK6
14944,P93004
22800,O23676
27744,O04590
20585,Q9LTF4
5742,Q9LKZ3
1929,Q9SIL5
3578,Q42347
2056,Q9SIJ5
26178,Q9MA79
12843,Q0WVX5
4724,O82245
21859,Q9LV85
15605,Q9LZ78
297,Q9SJW3
15182,F4JS25
24640,B9DGT7
5669,Q96291
5394,Q9SS80
11120,Q9M101
7527,Q9LU92
10462,Q9M1Z5
4240,Q8W2F3
22031,P23321
23749,P0C7Q8
15120,Q8W4F0
3908,Q0WSN2
14390,Q9S7U9
8954,P93046
3878,O80642
19811,P0DKH5
6601,Q8RY22
7488,Q9LI74
4521,O80842
10206,A2RVQ5
6414,F4J8D3
246813,P63319
17104,O04375
7530,Q9LU89
7051,Q9LVE2
23146,Q8LF36
23132,Q38951
24372,Q38845
9284,Q9SB04
9906,Q9M384
951608,P24345
16043,Q96330
27476,Q9LQ55
28445,A8MQR0
19541,P51102
4513,Q8S8S1
22622,Q9FRS6
3092,Q9SKB3
15444,P59169
7074,Q9LJ45
13340,Q11207
3038,Q9ZP54
19603,Q8VYM2
19617,Q8W4J9
28213,Q9C9M6
20654,Q9FK13
13130,Q9C5Q8
4737,Q8VY21
29244,Q9ZP59
26991,Q93VI8
17262,Q6NPQ1
26355,Q0WPY0
24349,Q9FRH7
22566,Q9LN01
27488,Q0WQW5
5019,Q8RXX9
25042,P35402
22739,O04492
9238,Q9SN74
19293,O80396
7171,Q9LUJ3
9236,Q93Z00
10222,Q9M2K8
20281,Q38890
7773,Q9LJP4
13144,A7XDQ9
14895,O65685
253,Q9SWH5
13608,O49629
23807,Q8L4R0
6939,O48915
28073,Q9AT00
34711,P19524
19662,Q9LKB9
23573,Q39160
26225,Q94AQ9
23314,F4HXY7
20964,Q9FH18
17336,A9QM73
201666,Q99104
10369,Q9LXR7
24623,Q9MAT6
4251,Q9ZW82
4103,O22229
7049,A8R7E6
14003,P42158
24393,Q9C660
17033,Q9LZS0
17277,Q8S9G8
25148,Q9ZTX8
15088,Q93VJ4
19095,Q9FFW5
1703,Q9ZPW3
528025,Q9SX31
11142,F4JGZ1
17251,Q8L7L0
22355,Q96288
28602,Q9CAL8
10964,Q9ZT82
23401,Q9S9P3
3568,Q9SJQ6
23109,Q0WPZ7
2903,O80871
27054,Q9SSA8
13753,Q9FE38
74,Q8S9N6
26307,Q39241
9430,Q9SG02
2122,Q9SJZ6
2995,O80860
12400,P49677
10236,Q6NLQ6
2506,O80983
624522,Q00IB6
4547,Q84JT7
10548,Q9M000
19772,Q9FLA5
3422,Q6DBG8
5073,Q9M9X4
13282,P55826
17549,Q500W7
27509,P52901
2890,Q9SIK7
16068,Q9FY84
22632,O64668
9666,Q8W4I7
1394,Q39211
4460,Q7XJM8
13079,Q8GUI6
7512,Q9SQI8
1887,Q9SL67
9748,Q8GUM5
6671,Q9LV28
20221,P34881
5631,Q8H1D2
19701,Q9FKW0
1462,O24520
179,Q8S8M9
4615,P46897
16824,Q9SPU7
26809,Q9C512
15261,Q9XGM8
20090,Q9FIJ0
22064,Q39193
25686,Q9LQF2
10676,Q9M276
15442,Q9SMQ4
28535,Q8LC03
9532,Q39192
29383,Q9M9E9
4338,O80567
8812,P59220
20914,Q9FE17
26717,Q9C6P3
3270,O22808
4526,O80837
13809,Q9STX5
20887,Q9LDH0
1592,Q38872
6777,Q9LHL3
2998,Q39010
16522,Q8GZB6
26182,Q9MA75
29538,Q9CA86
4355,O80582
4901,Q9M8W7
20167,Q9FJK6
6676,Q949S9
17430,P84634
24503,Q8GXJ4
8828,Q9LXW7
6086,O80340
1967,Q8S8I2
14221,Q8GZA8
12915,O49403
10545,Q8VZ95
